layer,kind,tensor,type,cols,rows,batch,calls,ms
0,q_proj,blk.0.attn_q.weight,Q4_0,4096,4096,32,4,77.093100
0,k_proj,blk.0.attn_k.weight,Q4_0,4096,4096,32,4,77.321563
0,v_proj,blk.0.attn_v.weight,Q4_0,4096,4096,32,4,76.960867
0,o_proj,blk.0.attn_output.weight,Q4_0,4096,4096,32,4,77.645060
0,ffn_gate,blk.0.ffn_gate.weight,Q4_0,4096,11008,32,4,207.481626
0,ffn_up,blk.0.ffn_up.weight,Q4_0,4096,11008,32,4,207.549698
0,ffn_down,blk.0.ffn_down.weight,Q4_0,11008,4096,32,4,200.699538
1,q_proj,blk.1.attn_q.weight,Q4_0,4096,4096,32,4,76.220240
1,k_proj,blk.1.attn_k.weight,Q4_0,4096,4096,32,4,77.863701
1,v_proj,blk.1.attn_v.weight,Q4_0,4096,4096,32,4,79.346204
1,o_proj,blk.1.attn_output.weight,Q4_0,4096,4096,32,4,76.836856
1,ffn_gate,blk.1.ffn_gate.weight,Q4_0,4096,11008,32,4,206.935965
1,ffn_up,blk.1.ffn_up.weight,Q4_0,4096,11008,32,4,206.761986
1,ffn_down,blk.1.ffn_down.weight,Q4_0,11008,4096,32,4,202.009270
2,q_proj,blk.2.attn_q.weight,Q4_0,4096,4096,32,4,77.025487
2,k_proj,blk.2.attn_k.weight,Q4_0,4096,4096,32,4,77.563440
2,v_proj,blk.2.attn_v.weight,Q4_0,4096,4096,32,4,77.109442
2,o_proj,blk.2.attn_output.weight,Q4_0,4096,4096,32,4,77.135828
2,ffn_gate,blk.2.ffn_gate.weight,Q4_0,4096,11008,32,4,208.109438
2,ffn_up,blk.2.ffn_up.weight,Q4_0,4096,11008,32,4,208.007067
2,ffn_down,blk.2.ffn_down.weight,Q4_0,11008,4096,32,4,201.704650
3,q_proj,blk.3.attn_q.weight,Q4_0,4096,4096,32,4,77.979043
3,k_proj,blk.3.attn_k.weight,Q4_0,4096,4096,32,4,77.548498
3,v_proj,blk.3.attn_v.weight,Q4_0,4096,4096,32,4,76.463655
3,o_proj,blk.3.attn_output.weight,Q4_0,4096,4096,32,4,76.164289
3,ffn_gate,blk.3.ffn_gate.weight,Q4_0,4096,11008,32,4,207.886499
3,ffn_up,blk.3.ffn_up.weight,Q4_0,4096,11008,32,4,206.657366
3,ffn_down,blk.3.ffn_down.weight,Q4_0,11008,4096,32,4,202.224281
4,q_proj,blk.4.attn_q.weight,Q4_0,4096,4096,32,4,76.325288
4,k_proj,blk.4.attn_k.weight,Q4_0,4096,4096,32,4,77.755062
4,v_proj,blk.4.attn_v.weight,Q4_0,4096,4096,32,4,77.200722
4,o_proj,blk.4.attn_output.weight,Q4_0,4096,4096,32,4,77.027720
4,ffn_gate,blk.4.ffn_gate.weight,Q4_0,4096,11008,32,4,208.574373
4,ffn_up,blk.4.ffn_up.weight,Q4_0,4096,11008,32,4,207.318309
4,ffn_down,blk.4.ffn_down.weight,Q4_0,11008,4096,32,4,201.870194
5,q_proj,blk.5.attn_q.weight,Q4_0,4096,4096,32,4,77.101136
5,k_proj,blk.5.attn_k.weight,Q4_0,4096,4096,32,4,77.639881
5,v_proj,blk.5.attn_v.weight,Q4_0,4096,4096,32,4,77.370260
5,o_proj,blk.5.attn_output.weight,Q4_0,4096,4096,32,4,76.196715
5,ffn_gate,blk.5.ffn_gate.weight,Q4_0,4096,11008,32,4,208.993763
5,ffn_up,blk.5.ffn_up.weight,Q4_0,4096,11008,32,4,207.734631
5,ffn_down,blk.5.ffn_down.weight,Q4_0,11008,4096,32,4,202.397521
6,q_proj,blk.6.attn_q.weight,Q4_0,4096,4096,32,4,76.879667
6,k_proj,blk.6.attn_k.weight,Q4_0,4096,4096,32,4,77.448844
6,v_proj,blk.6.attn_v.weight,Q4_0,4096,4096,32,4,76.598137
6,o_proj,blk.6.attn_output.weight,Q4_0,4096,4096,32,4,76.347795
6,ffn_gate,blk.6.ffn_gate.weight,Q4_0,4096,11008,32,4,206.975355
6,ffn_up,blk.6.ffn_up.weight,Q4_0,4096,11008,32,4,206.190060
6,ffn_down,blk.6.ffn_down.weight,Q4_0,11008,4096,32,4,202.548046
7,q_proj,blk.7.attn_q.weight,Q4_0,4096,4096,32,4,76.502787
7,k_proj,blk.7.attn_k.weight,Q4_0,4096,4096,32,4,77.018792
7,v_proj,blk.7.attn_v.weight,Q4_0,4096,4096,32,4,76.882607
7,o_proj,blk.7.attn_output.weight,Q4_0,4096,4096,32,4,76.929377
7,ffn_gate,blk.7.ffn_gate.weight,Q4_0,4096,11008,32,4,208.691683
7,ffn_up,blk.7.ffn_up.weight,Q4_0,4096,11008,32,4,208.018108
7,ffn_down,blk.7.ffn_down.weight,Q4_0,11008,4096,32,4,200.468838
8,q_proj,blk.8.attn_q.weight,Q4_0,4096,4096,32,4,77.454448
8,k_proj,blk.8.attn_k.weight,Q4_0,4096,4096,32,4,76.841943
