# MemVanta trained-model layer profile
prefill_ms=46712 decode_total_ms=8799.03 sampling_ms=0.34848
prefill_cycles_per_token=892434362.23 decode_cycles_per_token=1344845111.06
qkv_projection_ms=12509.36 attention_output_projection_ms=3997.14 ffn_gemm_ms=34582.16 output_head_ms=3194.49
prefill_qkv_projection_ms=11126.07 prefill_attention_output_projection_ms=3524.53 prefill_ffn_gemm_ms=30812.23 prefill_output_head_ms=375.37 prefill_kernel_ms=45838.21
decode_qkv_projection_ms=1383.29 decode_attention_output_projection_ms=472.60 decode_ffn_gemm_ms=3769.93 decode_output_head_ms=2819.12 decode_kernel_ms=8444.94
non_gemm_core_ms=1227.52 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,390.47,123.80,1072.56,1586.83,2.92,11.02
1,388.35,124.66,1092.17,1605.18,2.96,11.15
2,390.05,125.99,1090.75,1606.79,2.96,11.16
3,391.10,124.06,1068.16,1583.33,2.92,11.00
4,390.75,127.27,1078.62,1596.65,2.94,11.09
5,391.10,124.02,1082.19,1597.32,2.94,11.09
6,388.61,124.02,1083.35,1595.98,2.94,11.08
7,391.64,126.25,1080.50,1598.39,2.94,11.10
8,395.74,124.85,1092.27,1612.85,2.97,11.20
9,388.67,125.36,1079.98,1594.02,2.94,11.07
10,390.14,124.58,1068.99,1583.71,2.92,11.00
11,391.36,124.24,1080.76,1596.35,2.94,11.09
12,390.12,125.89,1085.35,1601.35,2.95,11.12
13,390.78,124.39,1082.33,1597.50,2.94,11.09
14,392.51,123.72,1084.76,1600.99,2.95,11.12
15,391.80,125.04,1090.00,1606.85,2.96,11.16
16,391.93,122.60,1080.88,1595.40,2.94,11.08
17,391.53,125.41,1085.14,1602.08,2.95,11.13
18,388.98,126.08,1084.67,1599.72,2.95,11.11
19,391.49,124.88,1064.45,1580.82,2.91,10.98
20,389.64,123.79,1076.51,1589.94,2.93,11.04
21,393.78,125.09,1079.02,1597.89,2.94,11.10
22,390.42,125.35,1092.01,1607.77,2.96,11.17
23,392.95,127.28,1076.63,1596.86,2.94,11.09
24,390.08,123.71,1062.66,1576.45,2.90,10.95
25,388.18,127.51,1089.97,1605.65,2.96,11.15
26,387.77,124.37,1078.73,1590.87,2.93,11.05
27,391.17,123.57,1087.99,1602.73,2.95,11.13
28,392.29,123.21,1076.34,1591.84,2.93,11.05
29,393.10,125.39,1063.21,1581.70,2.91,10.98
30,394.55,125.33,1087.77,1607.65,2.96,11.16
31,388.32,125.41,1083.45,1597.19,2.94,11.09
profile_csv=sevenb-ffn-kernel-ab/baseline-2.csv
