# MemVanta trained-model layer profile
prefill_ms=41973.2 decode_total_ms=8823.41 sampling_ms=0.399042
prefill_cycles_per_token=801895692.72 decode_cycles_per_token=1348565039.06
qkv_projection_ms=11433.75 attention_output_projection_ms=3797.15 ffn_gemm_ms=31096.97 output_head_ms=3201.14
prefill_qkv_projection_ms=10047.09 prefill_attention_output_projection_ms=3323.48 prefill_ffn_gemm_ms=27328.27 prefill_output_head_ms=375.64 prefill_kernel_ms=41074.48
decode_qkv_projection_ms=1386.65 decode_attention_output_projection_ms=473.67 decode_ffn_gemm_ms=3768.70 decode_output_head_ms=2825.50 decode_kernel_ms=8454.53
non_gemm_core_ms=1267.23 (attention softmax/KV + RMSNorm + RoPE + elementwise/residual)
layer,qkv_ms,o_proj_ms,ffn_ms,total_projection_ms,pct_kernel_ms,projection_ms_per_token
0,361.13,119.53,978.06,1458.73,2.95,10.13
1,358.76,119.65,978.61,1457.03,2.94,10.12
2,358.68,120.91,973.59,1453.17,2.93,10.09
3,357.95,117.07,970.49,1445.51,2.92,10.04
4,358.97,119.76,978.60,1457.33,2.94,10.12
5,358.60,120.44,979.31,1458.36,2.94,10.13
6,357.64,118.87,970.46,1446.98,2.92,10.05
7,355.36,117.72,974.46,1447.54,2.92,10.05
8,357.71,118.57,974.40,1450.68,2.93,10.07
9,354.69,122.53,968.51,1445.73,2.92,10.04
10,356.13,117.31,967.17,1440.61,2.91,10.00
11,354.40,117.87,968.45,1440.72,2.91,10.01
12,359.30,118.93,971.13,1449.36,2.93,10.07
13,356.24,117.41,969.47,1443.12,2.91,10.02
14,356.02,119.13,972.94,1448.09,2.92,10.06
15,357.72,117.62,967.48,1442.82,2.91,10.02
16,358.72,118.52,972.67,1449.91,2.93,10.07
17,355.13,117.85,966.83,1439.82,2.91,10.00
18,356.44,119.01,970.15,1445.59,2.92,10.04
19,357.98,118.24,964.85,1441.07,2.91,10.01
20,361.62,117.20,967.16,1445.98,2.92,10.04
21,356.22,117.74,972.37,1446.32,2.92,10.04
22,354.66,119.25,970.40,1444.31,2.92,10.03
23,359.66,119.00,968.28,1446.95,2.92,10.05
24,356.56,117.67,972.09,1446.32,2.92,10.04
25,356.69,116.98,975.79,1449.47,2.93,10.07
26,356.89,119.52,969.28,1445.70,2.92,10.04
27,357.15,118.40,974.23,1449.78,2.93,10.07
28,354.48,118.03,974.68,1447.19,2.92,10.05
29,357.82,118.67,969.77,1446.25,2.92,10.04
30,357.93,119.32,971.51,1448.77,2.93,10.06
31,356.49,118.41,973.75,1448.65,2.92,10.06
profile_csv=sevenb-ffn-tuning/fp32-b32.csv
